epoch:510, trainLoss:33.895414888858795, testLoss:66.34426879882812                 正解率 1:16.776, 2:7.895, 3:15.132, 4:4.441, 5:12.007 1着から5着:11.250, 11.250                 単勝:16.776, 複勝:41.228, 馬連:19.737, ワイド:16.009, 馬単:1.974, 3連複:5.099, 3連単:0.164
epoch:520, trainLoss:33.81633746623993, testLoss:67.62449645996094                 正解率 1:8.388, 2:7.895, 3:12.007, 4:7.237, 5:6.743 1着から5着:8.454, 8.454                 単勝:8.388, 複勝:38.816, 馬連:13.651, ワイド:13.158, 馬単:0.987, 3連複:3.289, 3連単:0.329
epoch:530, trainLoss:33.77761536836624, testLoss:64.8669204711914                 正解率 1:19.737, 2:12.664, 3:14.145, 4:6.908, 5:8.224 1着から5着:12.336, 12.336                 単勝:19.737, 複勝:42.818, 馬連:17.928, ワイド:14.529, 馬単:4.112, 3連複:2.961, 3連単:0.329
epoch:540, trainLoss:33.756455063819885, testLoss:65.00122833251953                 正解率 1:20.395, 2:10.362, 3:13.651, 4:9.375, 5:8.717 1着から5着:12.500, 12.500                 単勝:20.395, 複勝:42.050, 馬連:14.145, ワイド:12.774, 馬単:1.480, 3連複:1.974, 3連単:0.164
epoch:550, trainLoss:33.75463527441025, testLoss:65.71154022216797                 正解率 1:21.875, 2:10.033, 3:14.638, 4:8.388, 5:8.224 1着から5着:12.632, 12.632                 単勝:21.875, 複勝:42.379, 馬連:19.243, ワイド:15.351, 馬単:1.974, 3連複:4.441, 3連単:0.164
epoch:560, trainLoss:33.71828281879425, testLoss:65.17093658447266                 正解率 1:31.414, 2:10.526, 3:14.309, 4:5.757, 5:11.842 1着から5着:14.770, 14.770                 単勝:31.414, 複勝:44.134, 馬連:20.888, ワイド:15.844, 馬単:3.289, 3連複:3.125, 3連単:0.329
epoch:570, trainLoss:33.74827527999878, testLoss:66.29269409179688                 正解率 1:16.283, 2:14.803, 3:11.349, 4:7.566, 5:5.263 1着から5着:11.053, 11.053                 単勝:16.283, 複勝:43.586, 馬連:20.559, ワイド:14.474, 馬単:1.974, 3連複:2.303, 3連単:0.164
epoch:580, trainLoss:33.84300899505615, testLoss:65.27799224853516                 正解率 1:18.257, 2:13.158, 3:13.816, 4:8.553, 5:10.855 1着から5着:12.928, 12.928                 単勝:18.257, 複勝:43.969, 馬連:20.230, ワイド:16.667, 馬単:4.605, 3連複:5.099, 3連単:0.658
epoch:590, trainLoss:33.94592249393463, testLoss:65.55794525146484                 正解率 1:12.829, 2:11.020, 3:14.803, 4:6.743, 5:8.059 1着から5着:10.691, 10.691                 単勝:12.829, 複勝:44.079, 馬連:17.434, ワイド:15.186, 馬単:0.329, 3連複:4.276, 3連単:0.164
epoch:600, trainLoss:33.792034566402435, testLoss:68.15914154052734                 正解率 1:13.816, 2:12.007, 3:12.500, 4:8.553, 5:7.895 1着から5着:10.954, 10.954                 単勝:13.816, 複勝:41.173, 馬連:18.257, ワイド:15.132, 馬単:0.987, 3連複:6.414, 3連単:0.658
epoch:610, trainLoss:33.925409853458405, testLoss:67.0197982788086                 正解率 1:10.855, 2:12.336, 3:11.513, 4:6.086, 5:6.743 1着から5着:9.507, 9.507                 単勝:10.855, 複勝:43.366, 馬連:16.612, ワイド:14.529, 馬単:2.303, 3連複:1.974, 3連単:0.329
epoch:620, trainLoss:33.816419184207916, testLoss:66.57845306396484                 正解率 1:10.526, 2:13.980, 3:14.474, 4:8.388, 5:6.414 1着から5着:10.757, 10.757                 単勝:10.526, 複勝:37.116, 馬連:9.704, ワイド:10.965, 馬単:0.493, 3連複:1.809, 3連単:0.164
epoch:630, trainLoss:33.73982888460159, testLoss:65.77233123779297                 正解率 1:16.776, 2:12.500, 3:14.474, 4:6.743, 5:10.526 1着から5着:12.204, 12.204                 単勝:16.776, 複勝:42.434, 馬連:17.105, ワイド:14.748, 馬単:1.480, 3連複:3.289, 3連単:0.164
epoch:640, trainLoss:33.79476058483124, testLoss:65.9085464477539                 正解率 1:19.243, 2:13.980, 3:9.046, 4:9.211, 5:8.882 1着から5着:12.072, 12.072                 単勝:19.243, 複勝:43.037, 馬連:19.572, ワイド:14.912, 馬単:3.289, 3連複:3.947, 3連単:0.658
epoch:650, trainLoss:33.746243834495544, testLoss:65.27730560302734                 正解率 1:15.954, 2:9.539, 3:13.816, 4:9.868, 5:10.526 1着から5着:11.941, 11.941                 単勝:15.954, 複勝:42.489, 馬連:15.132, ワイド:14.145, 馬単:1.974, 3連複:3.289, 3連単:0.493
epoch:660, trainLoss:33.59648382663727, testLoss:66.02886199951172                 正解率 1:15.461, 2:12.829, 3:11.842, 4:9.539, 5:12.500 1着から5着:12.434, 12.434                 単勝:15.461, 複勝:43.695, 馬連:15.954, ワイド:16.173, 馬単:2.467, 3連複:5.592, 3連単:0.822
epoch:670, trainLoss:33.613386154174805, testLoss:66.53661346435547                 正解率 1:14.967, 2:14.474, 3:9.375, 4:7.237, 5:11.020 1着から5着:11.414, 11.414                 単勝:14.967, 複勝:39.748, 馬連:13.980, ワイド:13.322, 馬単:0.987, 3連複:4.441, 3連単:0.164
epoch:680, trainLoss:33.577696323394775, testLoss:65.50939178466797                 正解率 1:12.336, 2:10.526, 3:13.487, 4:3.947, 5:12.829 1着から5着:10.625, 10.625                 単勝:12.336, 複勝:41.338, 馬連:13.158, ワイド:13.048, 馬単:0.822, 3連複:3.289, 3連単:0.164
epoch:690, trainLoss:33.670833349227905, testLoss:65.931884765625                 正解率 1:18.092, 2:15.954, 3:8.717, 4:5.263, 5:9.375 1着から5着:11.480, 11.480                 単勝:18.092, 複勝:41.886, 馬連:17.105, ワイド:13.706, 馬単:3.125, 3連複:3.783, 3連単:0.164
epoch:700, trainLoss:33.72850924730301, testLoss:66.35318756103516                 正解率 1:14.803, 2:13.651, 3:10.855, 4:5.757, 5:11.349 1着から5着:11.283, 11.283                 単勝:14.803, 複勝:40.022, 馬連:13.487, ワイド:11.732, 馬単:1.316, 3連複:2.467, 3連単:0.164
epoch:710, trainLoss:33.70048654079437, testLoss:65.49884796142578                 正解率 1:21.875, 2:18.421, 3:12.993, 4:8.388, 5:8.224 1着から5着:13.980, 13.980                 単勝:21.875, 複勝:44.353, 馬連:16.283, ワイド:15.132, 馬単:4.770, 3連複:3.947, 3連単:0.822
epoch:720, trainLoss:33.61443442106247, testLoss:65.10302734375                 正解率 1:23.191, 2:10.033, 3:14.309, 4:6.743, 5:12.500 1着から5着:13.355, 13.355                 単勝:23.191, 複勝:45.066, 馬連:16.118, ワイド:15.844, 馬単:2.796, 3連複:3.125, 3連単:0.000
epoch:730, trainLoss:33.57075381278992, testLoss:64.46516418457031                 正解率 1:24.507, 2:15.296, 3:12.664, 4:7.895, 5:9.868 1着から5着:14.046, 14.046                 単勝:24.507, 複勝:46.656, 馬連:19.243, ワイド:16.667, 馬単:6.743, 3連複:3.289, 3連単:0.329
epoch:740, trainLoss:33.600840628147125, testLoss:65.27830505371094                 正解率 1:14.967, 2:15.296, 3:15.954, 4:6.414, 5:8.059 1着から5着:12.138, 12.138                 単勝:14.967, 複勝:45.175, 馬連:17.928, ワイド:17.050, 馬単:2.467, 3連複:4.934, 3連単:0.493
epoch:750, trainLoss:33.53401643037796, testLoss:65.49055480957031                 正解率 1:19.243, 2:9.539, 3:14.145, 4:6.250, 5:6.579 1着から5着:11.151, 11.151                 単勝:19.243, 複勝:45.230, 馬連:18.092, ワイド:16.776, 馬単:2.961, 3連複:4.441, 3連単:0.164
epoch:760, trainLoss:33.431321918964386, testLoss:64.68338012695312                 正解率 1:25.658, 2:14.474, 3:13.322, 4:5.592, 5:10.033 1着から5着:13.816, 13.816                 単勝:25.658, 複勝:45.175, 馬連:17.270, ワイド:15.625, 馬単:3.783, 3連複:4.441, 3連単:0.493
epoch:770, trainLoss:33.27642160654068, testLoss:64.57000732421875                 正解率 1:21.053, 2:14.803, 3:21.217, 4:5.921, 5:10.691 1着から5着:14.737, 14.737                 単勝:21.053, 複勝:46.327, 馬連:17.599, ワイド:18.037, 馬単:2.303, 3連複:6.250, 3連単:0.822
epoch:780, trainLoss:33.25690221786499, testLoss:64.26769256591797                 正解率 1:18.586, 2:18.421, 3:20.395, 4:5.921, 5:13.816 1着から5着:15.428, 15.428                 単勝:18.586, 複勝:45.669, 馬連:17.105, ワイド:17.160, 馬単:4.441, 3連複:6.086, 3連単:1.151
epoch:790, trainLoss:33.28537440299988, testLoss:64.20622253417969                 正解率 1:16.941, 2:12.007, 3:17.928, 4:5.592, 5:9.539 1着から5着:12.401, 12.401                 単勝:16.941, 複勝:43.695, 馬連:18.257, ワイド:14.967, 馬単:2.303, 3連複:4.112, 3連単:0.329
epoch:800, trainLoss:33.18828588724136, testLoss:64.66429901123047                 正解率 1:19.408, 2:12.829, 3:12.993, 4:7.401, 5:8.717 1着から5着:12.270, 12.270                 単勝:19.408, 複勝:42.050, 馬連:15.789, ワイド:13.596, 馬単:3.289, 3連複:3.783, 3連単:0.987
epoch:810, trainLoss:33.20276015996933, testLoss:64.29364013671875                 正解率 1:22.862, 2:13.322, 3:12.829, 4:6.414, 5:11.020 1着から5着:13.289, 13.289                 単勝:22.862, 複勝:45.285, 馬連:21.053, ワイド:17.215, 馬単:4.605, 3連複:5.428, 3連単:0.658
epoch:820, trainLoss:33.1885786652565, testLoss:65.63484191894531                 正解率 1:21.053, 2:14.145, 3:10.691, 4:7.401, 5:8.059 1着から5着:12.270, 12.270                 単勝:21.053, 複勝:40.954, 馬連:15.954, ワイド:14.145, 馬単:3.783, 3連複:5.592, 3連単:0.822
